reviewerID,asin,overall
AMFIPCYDYWGVT,B0090SI56Y,4
A3G602Z4DWDZKS,B00005JL99,5
A33BOYMVG3U58Y,B00109KN0M,5
ANEDXRFDZDL18,B00005JMPT,5
A1VN7IS16PY024,B00005AAA9,4
A1WXH5CI1PDWZZ,B001DRF83S,5
A30TK6U7DNS82R,0780625609,5
A3DG9QOFBA4PLB,B001K98M7S,5
AO3ZVS2A1SZ3Y,0780021045,5
AOB5695UUUJ0,B00E688U9K,4
A2FSZ0JXOK9O2C,B009AMAGQM,5
A1R2WP1CMA6O96,B000LC4ZCQ,4
AQRODCIYD7PYX,B003KV3E2W,2
A34GZPHWYPSY2T,B000277SCY,5
ASLTUNWNRTUOY,B000TAN90Y,5
A195PCNYWRB75,B007L6VR12,4
A1R7TXCKWDZNOQ,6300185311,4
AI54XO5Z755FH,B0002V7O10,3
A1LSDDSM4PGOU5,B00003CY5X,4
A1ZZ5CT3036BS7,B000WM84Y0,5
ATP9LYGM6D3RO,B00005R23R,5
A3CAKEDC4V3LE2,B0000A02YL,5
A28V2R9T34X2VU,6301752694,5
ANCOMAI0I7LVG,B00009WVSG,4
A1BH3LQ2U05OSM,B000A59PMO,5
ABDUEJT0GE07,B007TZN3ZS,5
AAAAJPG5Z1TLS,6300984869,1
A27H9DOUGY9FOS,B0034G4OVS,4
A3DVS9Y4Z1HIDJ,B002IC1RQY,5
A233UR4B7OT4RR,0800177029,4
A38H6JROS603PV,B0090SI4HO,3
A3MEHHL9LNKW4Z,B000JYW5DM,1
A33WRCAW3ZU2CU,B000SSQ7JW,5
A3OB3WDUN51D8A,B000V1S1MC,5
A3R6ST52EBN2FK,B0007OCG4W,5
ARKN5M2UYTF61,B000FA57HG,5
A1RECBDKHVOJMW,B0006IIKRQ,4
A2AMFKY99R4BKP,B00062IDLA,5
A1RECBDKHVOJMW,B0007R4SVI,4
A14JWF5U4EB6DY,B0000764K0,4
AQSQLWD3NLMAS,B000BX8R1A,4
A3T6OR4CAVJDNW,6303265774,4
AI7S94161XV07,079284078X,5
A109ME7C09HM2M,B004F88I66,3
AMYW43AHO16SS,630442972X,5
ABO2ZI2Y5DQ9T,B007U45J3M,3
A6VG20N5PW6UF,B00005JK8N,5
A3UEN4PDSLPU16,B0059XTU3G,5
A3BK1RYLHESYSJ,6302247829,5
A134XNZ2TN5PLR,6300214699,4
A1LSQ1FQP1FFG0,B000WTLDPU,5
AQTU8RON0JTY8,B000R7HY0K,5
A132O2LX94WY9P,6303464831,5
A3SFO2GSP5CVSM,B007P470R0,5
A1GN8UJIZLCA59,0800125762,5
A2BDZAU0Y4J6NB,8371341318,5
A1AFULO1G1A774,B0009PLLN6,4
AEL6AD2AL2UX8,B005LAII62,5
A92QRB0H76H6A,0792838084,2
A2HN2BU4VXBQ3H,B0002PYS74,5
A1SLC8Y43ZSTH3,6303471390,4
A1DNA1EX759JPY,B000MXPE7O,5
A1KQ1GR57HRWNU,B00CIXVAN8,5
A328S9RN3U5M68,B0000ZMH1A,3
A2L3KL43DDWVSQ,B003498S2G,4
A6J9LCOY1VRJK,B0034G4P4O,3
A2HXTZ3JCJ441Y,B004A8ZWVK,5
A2ZU9VVPK18EX9,B00B58FU3I,4
A1L9MIIBI7409N,B000YENUI6,5
AP3B615GM191G,6305807043,2
A34LBS9STV0IY8,6301773551,5
A6WZVL0SRQAPY,B008OGIPJA,5
A3VU9EC95GZ418,B0007DBJUU,4
A35U2FY3ZWLGDH,6304290888,3
A12C7XYE27B7KK,B0006Q93BU,5
A3W41DC4TZLML5,6300271854,5
A22PIFQSSLATYS,B008JFUPFI,4
A17LMTN718BQS6,B002VWOMZ4,5
A13FV9RUQ38OX8,6303617719,4
A2GYCEAZYQ0ZUY,6303599109,5
A3A8NBPP13U6C,B000OY8NBK,3
A1U9ZD4AZ5FNIT,6301960637,2
A9NCQGVV5W8N0,B000QDLSR0,1
A3PF36VPUXXBQY,B001P9KR8U,4
A3H3PW902OBHAV,B005LAIHQS,5
A2QBPR6O9STPL7,B005LAIGLE,4
AECVYXIL9791R,B0001XAOQ6,1
A1LKCUQ3SQTHBE,B000065AYI,4
AGMBXXRF2N54C,B005LAIH4A,4
A96JD9312DHWC,B003L77GI8,5
A19BQ2FXJ5CCOH,B00064MW6A,5
A3IXQI6ZBFXD65,B00005YKXQ,5
A2RKI7RPP5CJMG,B00003CXG6,4
A3MV1KKHX51FYT,B00065CQLU,3
ASZGADJQT6ET4,B007L6VR12,2
A1XKI53W1E891T,B000KWZ7VU,5
A2ARIZAVTCB6TM,B004EPZ07K,5
AK7D1BHZOSOL1,B0006FO9B0,4
A2TO8QCJUQJBWN,B002U4UZSG,5
A18OZCOKURN0L2,B000PFUA7S,5
A3OBVA38RYSHI7,B00104AYF6,2
A1OGPR0AKZ4K7D,0783222475,5
A1JJOV69MAU2J2,6304415346,4
AENS008HCBVC5,6305326940,4
A1DTCJV6KOMJOA,6305770328,5
A37EFTIQYBKOGW,B000CEXFZG,5
AW3VZ5O895LRK,B001OQCV6A,3
A1F23MY8SB905X,B0049P1VHS,4
A165D7H3XJ6RKB,B000BC8STM,5
A1O0MYEXZBV208,0767811100,5
AHPZCOV1EGJNY,B002XTBEDS,5
AV1KYJXHOWPMD,6303584845,1
A3Q3SD3Y6IHJUG,B000NDETLK,5
A2SNID1IYR1TBU,B00020BVYW,4
A3E5OY3YLZMOA9,B0007LLPWO,1
A18N2KFHV99VJZ,B005S9EK1S,4
A21N2VYWYYIAZU,B0007TKHFM,4
A1UOTG037037XY,B00121QGPY,4
A1W3WP9OO63KU8,B005LAIIMG,5
A1ILI7DZ4K26YQ,B000Z27H7M,4
A2P1951EAG7AZ4,B0001ZZ4PA,5
A1UAMPHJLZW38V,B002SJIO4A,5
A1M0RUBH8216SX,B000A6T1X6,5
AOXC7HI3O8JWI,B000A2IPQY,5
A27QXQQOLAMRRR,0783234996,5
AJSVKWQF6ZZ6O,B0001LQJMG,5
ABHPSQ6Q8O7ZT,B002ZG97B0,5
A38LVDKB11YDZS,B0012RWQJ8,5
A1LIWT4WMU3RBC,B0006VXMNA,4
A1PLYADCIIKD0F,1558807225,5
AAXDWJVRPDK5Y,B00064MW6A,3
AECPAPLLWWMPA,B009OE2O3Y,5
A314BNDUWIMMEI,B00005JO4H,4
A1DTFC5X9DMQFK,B003EYVXTG,5
A3CGM8BOMJIQ3Y,6300213986,4
A1XX5797TIZT5Q,B00005UQ6G,1
A3FDO58UAHVQD1,B0001ZX0EW,5
ATOS750XCC9MQ,B000071ZZJ,5
A2M97472CHEJDO,B007K3JCAE,5
A7Y64ICNNWLZ2,B0033HKCV4,5
A1IZMQPDCT9O9X,B0006J28DW,5
A4QTVIVZKK9VO,6304980582,5
A26VJ5ZJN2DFWK,B00005JLSK,5
A2D24242KPZGZW,B00742SXOM,4
A2GP36FGLXD9T2,B00695E1BY,3
AW5NMNDSD6FYG,B001MBTSK4,2
A2RM9L2MM9EQVE,630021639X,5
A1NGF5NQ22VAVX,6303954227,5
AM993B8PWUPLR,B000GEIRAU,5
AV7ADQFCH2PH5,B0053O89WY,5
AINMQ3YL6EJWG,B000O5B4BU,5
A255E1L105V4MU,6300216047,1
AJX8Q5CKA59DJ,B002VPE1AW,4
A2FI3IJB2W4YJB,B003Q6D25K,1
AVG2FYWAXAAAY,B0000560QG,4
A1IJP2DQX5F7R4,0563412879,4
A1OHALEEA1OC5X,B000062XDX,4
A14W3521N89K9Q,0783225997,5
AFPM6M2X9LJS,B0000897DJ,2
A3R6ST52EBN2FK,B00065HKMA,4
A3RZ6CJXJ7FBI8,B008220CQU,5
A1XX5797TIZT5Q,6302038227,5
A18FJWGMUBJ18C,B0037YHNQA,5
AMQQMZE9M1IZN,B000NA21YA,5
A10TOH9ZJXM8LI,B0009YCLBS,1
A3RF4HJ1QU3VQF,B005LAIHKY,5
A4VH04TA14CPE,630021463X,4
A1CQON0P01BITL,B00005JM02,5
A11DMF85T2VQO,B0050O7U40,5
A3MMM2XYL9LXU6,B009AMALGM,3
A31KXTOQNTWUVM,B005LJTU7E,4
AY06HIKRT0NZF,B00003CXI0,3
A6ADO7B6FUVN,B000CNE08I,4
AGGC3BHIG6A5K,B000HWZ4DE,5
A3EP4F25HE5NA8,B003R0MEZ4,4
A1XRNZ1RAEIK4K,6302946387,4
A1L6UE9Y9TWBVS,B00006FD99,5
A1RCLGY4LYN31Y,B0009S2KCY,4
A2J21SAX9H81GE,B0000WN1WW,5
A7G3NBFAH1AN3,B00BNWWUDY,4
A3T39KVYYE1U71,B00HNTOVWE,1
A1Y6F4OEZ99UVQ,6302712920,5
A1U1W3WLZ7VS6D,B005LAII58,3
A3SWHUCBTK4F6I,B00000K3CB,5
A5V1EF2BNERO9,B000A7Q2I2,5
A1EIIGQBKKVDT0,B00BEIYHO2,5
AKR4DH6WLF6GG,B0001US7BS,4
A3QGK33FM8YP7Y,B0002B55HU,4
ALL0FUR61FN8J,B0002IQLT4,5
A328S9RN3U5M68,B000M4RG7E,4
AH9K9F9GW7Z7L,B0000TANUI,5
A2PM4C9ASSLGWK,6305669651,3
A20M6V7VA8O2K6,B0009UC7MK,5
A1MNUAXPWP8BUJ,B009H3LN8Y,2
AGQF1EMUZC3VB,B00005JOKM,5
A1MG1X67S4KS5U,B002KISB56,5
ADZ6534RCJVNL,B00023BN1A,1
A5Y4D2LT9NYTP,B0042RJWU6,5
A1B7Q22I53WHQJ,B00DT55P9Y,3
A2MOREZ3AFKKOK,6303109950,4
A3AJIDYRTJL7RE,B001N26GFM,5
A1257UOB7BM9BK,0783219695,2
A1IA677R5E8PAK,B0006JMLQQ,5
AUM3YMZ0YRJE0,B0000640VR,3
A1R2K5CF100UJP,0792839129,5
A38Y87BK3E4T68,B006X040NY,5
A3PDNV30IFOUBT,B0011FLGU6,4
AER15RIMV8E6D,B000CQM4YM,4
AR8O7SVSEUI9Z,B000WL4AI0,5
A3OJO9T1RLIG36,B000NA28HU,3
